category, expense, tips
Utilities, 0 ,Hey I think You Forgor to pay Rent of house !!
Medical ,5000,You have spent a lot money on medical Get well soon!!
Medical,3000,Medical Bills too high ! visit a Doctor
Groceries,4000,Buying So Much Groceries What's Up any Guests This Month!!
Transportation,5000,Too Much Spending on Transportation !! Get a vehicle Instead
Transportation,3500,Transportation expenses More this month ! 
Healthcare,4000, More Expenses on Healthcare This Month Better to visit Doctor !
Healthcare,2500, Visit Doctor  Get well soon!
Entertainment,5000, Spend Less on Entertainment..Save More !!
Entertainment,7000, You Sould Spend Less on Entertainment..
Education,1000, Low Expenses Of Education This Month..Invest To learn skills..
Education,5000, More Expenses On Education this Month...That's Good..Wihing You better Learning
Personal Care,00, No Expenses on Personal Care this month .... Invest in youself too
Personal Care,8000,More Expenses Of Personal Care This Month..Better To Maintain It
Savings,00, What's Up !! DO Some Savings Too For Future..
Savings, 7000, More Saved This Month...Good to Know That
Savings,5000,Try To Increase Savings..
Alcohol,100,You Have Maintained Alcohol This Month Good!!
Alcohol,8000,Spent A lot on Alcohol..Focus on Health
Alcohol,7000, Drink Less and Become Healthier..
Fruits,100, Less Expenses Of Fruits..Get Some Fruits Too
Gym ,1000, Less expense of gym This Month..Invest Maintained amount in Health too
Gym,10000, More Expenses of Gym This month...No need for Expensive Gym 
Skincare ,1000, Maintained expense on Skincare Good !!
Books ,00, Read Some Books!!
Gifts,10000, High Expenses Of Gifts This Month ! Try to Maintain It..
